Name,FIPS,"# Total Population [B01003] | Total population, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van | Carpooled, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Bicycle, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Walked, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Taxicab, motorcycle, or other means, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Worked at home, 2017"
"11378, Maspeth, NY",11378,35844,44.4463,7.782,0.5599,4.9709,0.6171,2.7997
"11379, Middle Village, NY",11379,37524,50,7.8848,0.1443,5.7374,0.6991,2.4248
"11385, Ridgewood, NY",11385,106598,29.4054,4.3834,1.065,6.6294,0.4267,2.5043
"11411, Cambria Heights, NY",11411,19990,60.5223,6.6516,0.2673,0.6477,0.329,1.8094
"11412, Saint Albans, NY",11412,38833,50.4166,4.3836,0.1486,2.2926,0.9871,2.6164
"11413, Springfield Gardens, NY",11413,42895,54.5624,4.6912,0.1363,2.2825,0.8787,2.4996
"11414, Howard Beach, NY",11414,29203,68.1154,7.0273,0,3.1111,0.7582,0.3752
"11415, Kew Gardens, NY",11415,19900,31.4839,3.6013,1.1803,4.8825,2.1487,5.175
"11416, Ozone Park, NY",11416,27567,35.0205,5.8326,0.484,5.4471,0.9188,3.3716
"11417, Ozone Park, NY",11417,32425,43.5051,8.6441,0,5.0237,0.8542,2.2915
"11418, Richmond Hill, NY",11418,39267,35.645,6.7721,0.6284,6.1157,1.0324,3.6133
"11419, South Richmond Hill, NY",11419,52392,39.5302,7.2453,0.1426,5.9895,1.3112,1.0894
"11420, South Ozone Park, NY",11420,49396,51.3455,8.7717,0.1606,2.2439,1.6884,2.6432
"11421, Woodhaven, NY",11421,43567,33.2539,5.3818,0.2002,4.1996,0.6435,1.6255
"11422, Rosedale, NY",11422,33479,60.7861,7.9595,0,1.3353,1.0867,2.1965
"11423, Hollis, NY",11423,32407,45.1023,2.8058,0,2.9479,1.5388,3.6092
"11424, Jamaica, NY",11424,0,0,0,0,0,0,0
"11425, Jamaica, NY",11425,0,0,0,0,0,0,0
"11426, Bellerose, NY",11426,21166,66.2445,8.7987,0,2.1685,0.6429,2.6099
"11427, Queens Village, NY",11427,23809,55.7391,7.0529,0.2372,1.8066,0.3376,2.6186
"11428, Queens Village, NY",11428,19859,57.4177,8.548,0.2103,1.5456,1.2196,1.5876
"11429, Queens Village, NY",11429,27667,52.921,7.9758,0.4029,1.7981,1.3057,1.9399
"11430, Jamaica, NY",11430,183,0,0,0,17.1875,0,0
"11432, Jamaica, NY",11432,65098,32.8556,4.9129,0.1752,8.6449,1.209,2.7859
"11433, Jamaica, NY",11433,36019,40.2844,5.0904,0.0665,4.8179,0.5183,1.4288
"11434, Jamaica, NY",11434,66725,46.8683,5.2977,0.057,2.9473,1.0998,2.2566
"11435, Jamaica, NY",11435,59214,32.8571,4.39,0.292,5.0052,1.154,1.943
"11436, Jamaica, NY",11436,20905,49.3759,6.657,0.3224,3.5677,1.6434,2.1323
"11451, Jamaica, NY",11451,0,0,0,0,0,0,0
"11691, Far Rockaway, NY",11691,65356,46.9994,6.5358,0.4302,7.6425,2.3345,2.8691
"11692, Arverne, NY",11692,20242,44.6841,5.989,0.261,2.706,1.7308,2.1291
"11693, Far Rockaway, NY",11693,12709,50.3366,4.3763,0,0.8505,0.3544,1.8427
"11694, Rockaway Park, NY",11694,21003,63.6787,4.2157,1.1094,4.4708,0.8653,3.7386
"11697, Breezy Point, NY",11697,3702,78.5666,5.1386,0.4057,3.9216,0,4.8682
